char_simpl,char_trad,ucn,all_readings,unique_bases,mandarin_raw,hanyupinyin_raw,definition,reading_sources
㣽,㣽,U+38FD,shù nù,shu nu,shù,"42271.020:shù,nù","(ancient form of 恕) to forgive; to pardon, (ancient form 怒) anger; wrath; indignation; rage","kMandarin,kHanyuPinyin"
㣿,㣿,U+38FF,zhuó diǎo,zhuo diao,zhuó,"42272.120:zhuó,diǎo","painfully sad, scared; afraid; fearful, anger, melancholy; grievous; mournful; sad, to be concerned about","kMandarin,kHanyuPinyin"
㤅,㤅,U+3905,ài xì jì,ai xi ji,ài,"42273.130:ài,xì,jì","to love, to be fond of, o like; love, affection, a breath, news, to stop; to end, (interchangeable 忌) jealous; to envy, (the small seal 愛) love","kMandarin,kHanyuPinyin"
㤉,㤉,U+3909,qiā yà,qia ya,qiā,"42276.080:qiā,yà","fear; dread; fright; scare, crafty; low cunning","kMandarin,kHanyuPinyin"
㤕,㤕,U+3915,chù pò,chu po,chù,"42288.060:chù,pò","melancholy; grievous; mournful; sad, anxious and fearful, extremely sad","kMandarin,kHanyuPinyin"
㤞,㤞,U+391E,chà duó zé,cha duo ze,chà,"42298.140:chà,duó,zé","disappointed; to fail in attaining one's purpose; to be disappointed in attaining the ambitions, to be surprised; to be amazed; to marvel, to think; to consider; to ponder; to contemplate, to expect or hope with eagerness, a credit, straightforward; faithful and upright, to reprimand; to discipline; to punish","kMandarin,kHanyuPinyin"
㤡,㤡,U+3921,lì liè,li lie,lì,"42294.150:lì,liè","to surprise; to amaze, afraid; scared; fearful; terrified, grieved; distressed; grieved; distressed","kMandarin,kHanyuPinyin"
㤱,㤱,U+3931,fù dòu,fu dou,fù,"42303.050:fù,dòu","anger; passion; rage, to wait, to cheat; to swindle","kMandarin,kHanyuPinyin"
㤴,㤴,U+3934,chè shè dié,che she die,chè,"42302.130:chè,shè,dié","to move the mind; agitated; nervous; to start thinking, to rest; to cease, intelligent, strange; uncanny, light aspirations or ambitions for ...","kMandarin,kHanyuPinyin"
㤹,㤹,U+3939,qiú jiù,qiu jiu,qiú,"42302.140:qiú,jiù","hatred; grudge; enmity; animosity, (interchangeable 救) to save; to relieve; to rescue; to deliver; to aid","kMandarin,kHanyuPinyin"
㤾,㤾,U+393E,sàn tàn,san tan,sàn,"42319.070:sàn,tàn","not doing well; disappointed; very discouraged; frustrate (same as 憛) worried; anxious; apprehensive, to lose head; to lose self-possession","kMandarin,kHanyuPinyin"
㥀,㥀,U+3940,zhí dé,zhi de,zhí,"42313.100:zhí,dé","exclusive; special (same as 德) morality; virtues, behavior; conduct","kMandarin,kHanyuPinyin"
㥛,㥛,U+395B,jí kè,ji ke,jí,"42319.110:jí,kè","with expedition; urgent; hasty, anxious; worried, respectfully serious; to take careful precautions; to do something in a serious manner, to love; to like; to be fond of; to be kind to","kMandarin,kHanyuPinyin"
㥢,㥢,U+3962,qiú jiū,qiu jiu,qiú,"42330.030:qiú,jiū","bad; evil; wicked; vice, overbearing; haughty, melancholy; depressed; dejected; cheerless; despondent, considerations; contemplations; to think carefully; to turn over and over in the mind","kMandarin,kHanyuPinyin"
㥨,㥨,U+3968,shuì wěi,shui wei,shuì,"42325.080:shuì,wěi","unhappy displeased, anger; rage; angry; furious","kMandarin,kHanyuPinyin"
㥮,㥮,U+396E,zhòu chǎo,zhou chao,zhòu,"42338.110:zhòu,chǎo","obstinate; stubborn; opinionated; obstinacy; stubbornness; intransigent, truculent; savage, ferocious; fierce","kMandarin,kHanyuPinyin"
㥲,㥲,U+3972,chēn shèn,chen shen,chēn,"42334.090:chēn,shèn","(same as 謓) anger; rage; angry; furious, (ancient form 慎) cautious; careful; scrupulous; prudent","kMandarin,kHanyuPinyin"
㥴,㥴,U+3974,yí tí,yi ti,yí,"42337.140:yí,tí","do not care about something; disregard, to be ashamed","kMandarin,kHanyuPinyin"
㥶,㥶,U+3976,sè qiān,se qian,sè,"42334.170:sè,qiān","(same as 塞 愆) to fill up; full of; filled with; rich in contents; abundance, a fault; a mistake, to exceed; to be more than, to surpass","kMandarin,kHanyuPinyin"
㥼,㥼,U+397C,yìn yān,yin yan,yìn,"42344.080:yìn,yān","to be near to, close to, to recollect; to recall; to look back upon","kMandarin,kHanyuPinyin"
㥽,㥽,U+397D,cè zé,ce ze,cè,"42344.060:cè,zé","feeling; emotion, fact, love; affection, nature; reason, (same as 責) one's duty, responsibility; obligation, etc., to demand; to punish, to upbraid","kMandarin,kHanyuPinyin"
㦅,㦅,U+3985,diē dì chài,die di chai,diē,"42344.180:diē,dì,chài",(same as 慸) uneasy; feeling uneasy or uncomfortable; not feeling at peace,"kMandarin,kHanyuPinyin"
㦆,㦆,U+3986,hū xiā,hu xia,hū,"42345.130:hū,xiā","to exaggerate; exaggeration, arrogant; showing wild imagination; preposterously fantastic, without ambition; discourage","kMandarin,kHanyuPinyin"
㦌,㦌,U+398C,hū xù,hu xu,hū,"42350.100:hū,xù","keen or sharp; clever; simple and honest, sound sleep or slumber; a deep sleep, to wake up from sleep","kMandarin,kHanyuPinyin"
㦏,㦏,U+398F,sǔn xuàn,sun xuan,sǔn,"42357.080:sǔn,xuàn","weak; feeble, joy; delight; gratification","kMandarin,kHanyuPinyin"
㦑,㦑,U+3991,xiàn hān,xian han,xiàn,"42352.100:xiàn,hān","anger; rage; angry; furious, silly; stupid; foolish","kMandarin,kHanyuPinyin"
㦓,㦓,U+3993,xiàn rǎn,xian ran,xiàn,"42355.130:xiàn,rǎn","difficult intention, difficult idea or sentiment, weakened volition; dejected, fear; scare; fright","kMandarin,kHanyuPinyin"
㦜,㦜,U+399C,huò xuè,huo xue,huò,"42364.100:huò,xuè","to move the mind; agitated; nervous; to start thinking, melancholy; grievous; mournful, (same as 驚) to surprise; to amaze, afraid; scared; terrified; fearful","kMandarin,kHanyuPinyin"
㦥,㦥,U+39A5,xuān xiǎn,xuan xian,xuān,"42370.030:xuān,xiǎn","(same as 愋) talented; intelligent; wise wisdom; knowledge, to resent; to hate, to regret","kMandarin,kHanyuPinyin"
㦶,㦶,U+39B6,dié yǒng,die yong,dié,"21405.120:dié,yǒng","repeatedly; frequently; to alternate, common; ordinary; normal, sharp, name of a state in ancient China, bold; brave; fierce; violent; severe; strict; stringent","kMandarin,kHanyuPinyin"
㦿,㦿,U+39BF,qiǎn hù,qian hu,qiǎn,"32258.050:qiǎn,hù","a window, a small door, (ancient form 戶) a door, a household","kMandarin,kHanyuPinyin"
㧁,㧁,U+39C1,qù hé,qu he,qù,"32261.060:qù,hé","to close, shut the door with a bang, to soar, (ancient form 闔) a Chinese family name","kMandarin,kHanyuPinyin"
㧃,㧃,U+39C3,shōu jiū,shou jiu,shōu,"31827.070:shōu,jiū","(ancient form of 收) to receive what is due; to gather together, to harvest, to collect; to put away, to close, to bind, to restrain, to bring to the end, (same as 摎) entwined -- as branches of a tree; to tangle; to involve, to collaborate; to band together","kMandarin,kHanyuPinyin"
㧅,㧅,U+39C5,mù dāo,mu dao,mù,"31827.090:mù,dāo","to turn upside down; to exert a great deal; to pull and drag, to implicate or involve","kMandarin,kHanyuPinyin"
㧉,㧉,U+39C9,gài hài yè,gai hai ye,gài,"31837.090:gài,hài,yè","to rub; to grind; to polish; to wear, to take; to obtain; to select, to beat; to strike; to attack","kMandarin,kHanyuPinyin"
㧊,㧊,U+39CA,pō bá,po ba,pō,"31834.030:pō,bá","to push; to expel, to shirk; to decline, to row, to wipe and clean, to strike; to beat, to be rampant in defiance of authority","kMandarin,kHanyuPinyin"
㧍,㧍,U+39CD,fǎng bēng,fang beng,fǎng,"31844.010:fǎng,bēng","(same as 仿) alike; similar, (same as 搒) to involve; to affect","kMandarin,kHanyuPinyin"
㧎,㧎,U+39CE,yá yà qiā,ya qia,yá,"31835.020:yá,yà,qiā","forked branches, stone roller, to roll, to stop; to detain; to prohibit, to clutch; to grasp","kMandarin,kHanyuPinyin"
㧗,㧗,U+39D7,zǐ jǐ zhǐ,zi ji zhi,zǐ,"31868.150:zǐ,jǐ,zhǐ","to catch, to grasp with the hand, to pinch, to kill, to attach from the sideway, to strike with the hand; (Cant.) to tear, rip","kMandarin,kHanyuPinyin"
㧙,㧙,U+39D9,bì bié,bi bie,bì,"31859.020:bì,bié","to give a playful blow, to strike against, to wring; to wrench; to twist, to turn for the better","kMandarin,kHanyuPinyin"
㧡,㧡,U+39E1,hài wèi,hai wei,hài,"31875.060:hài,wèi","to move; to shake; to rock; to excite, to decrease; to reduce; to diminish; to subtract; to deduct, to shoulder; to take upon on oneself","kMandarin,kHanyuPinyin"
㧦,㧦,U+39E6,xuàn hōng,xuan hong,xuàn,"31874.010:xuàn,hōng","to strike; to beat; to attach, (same as 揈) to move; to shake; to wield","kMandarin,kHanyuPinyin"
㧪,㧪,U+39EA,guǐ wěi,gui wei,guǐ,"31873.040:guǐ,wěi","to ruin; to destroy; to break down, to hang up; to suspend","kMandarin,kHanyuPinyin"
㧫,㧫,U+39EB,ér ruán ruí,er ruan rui,ér,"31867.090:ér,ruán,ruí","to hold; to grasp, to maintain; to keep, a post, to lead on, (same as 擩) to rub, to crumble by hand, to massage; mixed-up; confused","kMandarin,kHanyuPinyin"
㧳,㧳,U+39F3,zhuò bāi,zhuo bai,zhuò,"31877.060:zhuò,bāi","to mix; to blend, to display in neat rows; to place in order","kMandarin,kHanyuPinyin"
㧴,㧴,U+39F4,wǒ é,wo e,wǒ,"31884.070:wǒ,é",to rub hands; to rub between the hands; to twist between the hands,"kMandarin,kHanyuPinyin"
㧻,㧻,U+39FB,zhuó zú dū,zhuo zu du,zhuó,"31894.010:zhuó,zú,dū","a thorn, to select; to pick, to push, to find out, to cut out; to engrave, sound of striking","kMandarin,kHanyuPinyin"
㨃,㨃,U+3A03,duǐ chéng,dui cheng,duǐ,"31903.030:duǐ,chéng","a row; a line, to push; to clear out, (same as 朾) to bump; to knock against; to strike accidentally; to collide; (Cant.) to poke, nudge, stab; to stretch out","kMandarin,kHanyuPinyin"
㨄,㨄,U+3A04,zhōu zhào tiáo,zhou zhao tiao,zhōu,"31902.040:zhào,tiáo,zhōu","to pierce; to stab, (same as 挑) to stir; to disturb; to agitate, to place the hand on, to impeach, (a dialect) to lift something heavy from one side or from the end","kMandarin,kHanyuPinyin"
㨅,㨅,U+3A05,nèi ruì,nei rui,nèi,"31891.060:nèi,ruì","inside; within; inner, a family name, (corrupted form of 抐) to take from the top, to strip; to peel","kMandarin,kHanyuPinyin"
㨉,㨉,U+3A09,mín wěn,min wen,mín,"31926.020:mín,wěn","(same as 抿) to smooth, to stroke; to pucker, to contract, to wipe away","kMandarin,kHanyuPinyin"
㨊,㨊,U+3A0A,wěi tuǒ duò,wei tuo duo,wěi,"31913.090:wěi,tuǒ,duò","to discard; to reject; to abandon, to feel; to stroke, to sort out the divining stalks, to drop; to lose; to fall off, to weigh; to measure weight","kMandarin,kHanyuPinyin"
㨙,㨙,U+3A19,xié xì,xie xi,xié,"31933.010:xié,xì","to clasp or hold under the arm, to support; to prop up; to aid, to exchange; to alter, to lift up or off; to raise high","kMandarin,kHanyuPinyin"
㨚,㨚,U+3A1A,xún sǔn,xun sun,xún,"31929.030:xún,sǔn","to select; to choose; to pick out, to defend; to ward off, to refuse; to reject","kMandarin,kHanyuPinyin"
㨨,㨨,U+3A28,chōu liù,chou liu,chōu,"31935.060:chōu,liù","(the large seal; a type of Chinese calligraphy) to draw out; to sprout; to rid; to whip, to build, to thresh; to hull or unhusk, to beat; to pound; (Cant.) to shake down","kMandarin,kHanyuPinyin"
㨳,㨳,U+3A33,guǐ jì,gui ji,guǐ,"31949.090:guǐ,jì","(same as 庋) a cupboard; a closet, to put into a cupboard or closet; to put into the proper place, to wear on the head, to support; to sustain; to bear","kMandarin,kHanyuPinyin"
㨹,㨹,U+3A39,huì xuě,hui xue,huì,"31941.070:huì,xuě","to crack; to break; to rip open, to split or divide up, to hang up; to suspend, to sweep clean; to eliminate","kMandarin,kHanyuPinyin"
㨺,㨺,U+3A3A,miǎn mén,mian men,miǎn,"31942.040:miǎn,mén","to ornament; to polish; to decorate, (same as 捫) to feel; to touch with hands; to hold, to search (in one's pocket, etc.)","kMandarin,kHanyuPinyin"
㨻,㨻,U+3A3B,cán shǎn zàn chàn,can shan zan chan,cán,"31940.020:cán,shǎn,zàn,chàn","to cut; to kill; to behead, gradually; little by little; by degrees, to lift; to raise, to strike; to beat, to throw; to pitch; to deliver","kMandarin,kHanyuPinyin"
㩆,㩆,U+3A46,jiù zú,jiu zu,jiù,"31961.070:jiù,zú","to be in full possession of; to grasp, to beat cruelly; to beat brutally; to beat severely","kMandarin,kHanyuPinyin"
㩇,㩇,U+3A47,huò zuó huá,huo zuo hua,huò,"31963.060:huò,zuó,huá","the thumb, to split; to tear apart, sound of ripping or tearing, to cut open with something sharp","kMandarin,kHanyuPinyin"
㩉,㩉,U+3A49,dá lā xī xié,da la xi xie,dá,"31960.100:dá,lā,xī,xié","(same as 搨) to take a rubbing of an inscription on stone, etc., (same as 拉) to pull; to drag; to hold, to beat; to strike; to attack, (same as 拹) to break; to destroy; to smash","kMandarin,kHanyuPinyin"
㩋,㩋,U+3A4B,xiāo sù,xiao su,xiāo,"31972.120:sù,xiāo","to beat; to strike; to attack, sound of beating or hitting, a handle; a hold; to hold; to take, to guard; to watch over","kMandarin,kHanyuPinyin"
㩠,㩠,U+3A60,āo piǎo póu,ao piao pou,āo,"31981.150:āo,piǎo,póu","a fierce or bloody battle, to untie; to unbind, (same as 捊) to exchange; to trade, to guide, to quote","kMandarin,kHanyuPinyin"
㩢,㩢,U+3A62,miè mì,mie mi,miè,"31979.040:miè,mì","to beat; to strike; to attack, to cut, to diminish, to decide; to judge, to weigh; to measure, to wipe; to rub, to dust; to clean","kMandarin,kHanyuPinyin"
㩦,㩦,U+3A66,xié xī,xie xi,xié,"31981.060:xié,xī","(same as 攜) to lead by the hand, to conduct to; to take with, a Chinese family name","kMandarin,kHanyuPinyin"
㩴,㩴,U+3A74,jú qú,ju qu,jú,"31987.020:jú,qú","to seize, as a bird of prey, to seize and carry off, to grasp","kMandarin,kHanyuPinyin"
㩻,㩻,U+3A7B,qī guì guǐ,qi gui,qī,"21329.070:qī,guì,guǐ","rugged mountain path, very skinny, to pile on upon another; accumulation; to accumulate; (Cant.) exclamation","kMandarin,kHanyuPinyin"
㩽,㩽,U+3A7D,qí chì è,qi chi e,qí,"21329.140:qí,chì,è","parasitic branches on a tree, branches growing horizontally, (variant 勑) imperial orders","kMandarin,kHanyuPinyin"
㩾,㩾,U+3A7E,zhuì qí,zhui qi,zhuì,"21330.030:zhuì,qí","uneven, to hang down; to let fall","kMandarin,kHanyuPinyin"
㪁,㪁,U+3A81,qín kān qiàn qián,qin kan qian,qín,"21450.110:qín,kān,qiàn,qián","to hold; to grasp; irregular; uneven, a precipice beneath an overhanging cliff, (same as 拑) to take by force; to control with threat of force; to coerce","kMandarin,kHanyuPinyin"
㪋,㪋,U+3A8B,hàn hě,han he,hàn,"21458.120:hàn,hě","(same as 扞 捍) to resist; to oppose; to obstruct, to defend; to guard; to ward off, (same as 㪃) to thump; to beat; to strike; to attack","kMandarin,kHanyuPinyin"
㪍,㪍,U+3A8D,bó bèi,bo bei,bó,"21460.020:bó,bèi","(same as 勃) suddenly, to change, as the countenance, a kind of animal (interchangeable 悖) perverse; contrary to what is right, to rebel","kMandarin,kHanyuPinyin"
㪎,㪎,U+3A8E,shǎn nà,shan na,shǎn,"21458.080:shǎn,nà","uncertain; not yet settled, irregular, to raise one's hands, to exhaust; to use up, to complete; to finish, all; entirely; totally; completely","kMandarin,kHanyuPinyin"
㪕,㪕,U+3A95,diào chuò,diao chuo,diào,"21464.070:diào,chuò","to beat; to pound; to strike; to rush on; to pat; to dash; to smash, to take by force; to wrest from","kMandarin,kHanyuPinyin"
㪜,㪜,U+3A9C,chuǎi duǒ,chuai duo,chuǎi,"21469.170:chuǎi,duǒ","(same as 揣) to measure; to estimate; to suppose; to gauge what's on another's mind; to presume; to test; to sound out, (same as 捶) to weigh in the hand","kMandarin,kHanyuPinyin"
㪠,㪠,U+3AA0,qiān qiàn jiān,qian jian,qiān,"21471.100:qiān,qiàn,jiān","(same as 鵮) to peck, poverty; poor, things of the same value, to take; to fetch; to obtain, to select; to choose, (of a bird) to peck","kMandarin,kHanyuPinyin"
㪡,㪡,U+3AA1,kài kě,kai ke,kài,"21471.130:kài,kě","to quell; to punish by force of arms, enemy; foe, to oppose; to resist","kMandarin,kHanyuPinyin"
㪣,㪣,U+3AA3,xiāo qiāo,xiao qiao,xiāo,"21472.080:xiāo,qiāo","a place in Han dynasty, (same as 敲) to beat; to knock","kMandarin,kHanyuPinyin"
㪬,㪬,U+3AAC,chuō zhuó,chuo zhuo,chuō,"21479.100:chuō,zhuó","to pierce; to stab; to hurt, to give; to hand over; to confer, to teach, to build, to pound (grain) in order to remove the husk","kMandarin,kHanyuPinyin"
㪾,㪾,U+3ABE,luò gé,luo ge,luò,"32024.090:luò,gé","to cut the flesh from the bone; to scrape off; to pick out; to get rid of, to arrest; to catch to seize, to struggle; to fight; to conflict; to vie; to compete","kMandarin,kHanyuPinyin"
㫊,㫊,U+3ACA,yǐ ě,yi e,yǐ,"32180.020:yǐ,ě","fluttering of the flag, the flags","kMandarin,kHanyuPinyin"
㫍,㫍,U+3ACD,yóu yǎo,you yao,yóu,"32183.090:yóu,yǎo","the scallops along the lower edge of a flag; the hanging decorations (ribbons, etc.) of a flag used in ancient times, a kind of flag","kMandarin,kHanyuPinyin"
㫎,㫎,U+3ACE,huī gǔn,hui gun,huī,"32184.080:huī,gǔn","(same as 徽 揮) mark; sign; indication; flags; pennants, streamers, etc., to prance, to brandish, to shake; to rattle, name of a flag","kMandarin,kHanyuPinyin"
㫑,㫑,U+3AD1,zhǐ shí,zhi shi,zhǐ,"21486.040:zhǐ,shí","(same as 旨) (non-classical form 時) purpose; will; intention; objective, good; excellent, a season; an era; time","kMandarin,kHanyuPinyin"
㬐,㬐,U+3B10,jìn zī,jin zi,jìn,"21529.070:jìn,zī","(same as 晉) a state during the period of Spring and Autumn, (same as 鄑) name of a place in today's Shandong Province","kMandarin,kHanyuPinyin"
㬝,㬝,U+3B1D,céng sōng,ceng song,céng,"21536.150:céng,sōng","obscure; not bright; poor visibility, white; clear; bright; pure; plain","kMandarin,kHanyuPinyin"
㬠,㬠,U+3B20,shài shà,shai sha,shài,"21538.210:shài,shà","(non-classical form of 曬) to expose to sunlight; to dry in the sun (interchangeable 煞) very; much; extremely; a fierce god; a malignant deity, to conclude","kMandarin,kHanyuPinyin"
㬥,㬥,U+3B25,pù bó,pu bo,pù,"21540.040:pù,bó","(an ancient form of 曝) to sun to air; to expose to sunlight, to expose or be exposed; exposure, a tree with scatter or dispersed leaves","kMandarin,kHanyuPinyin"
㬻,㬻,U+3B3B,huāng hāng huǎng,huang hang,huāng,"32100.120:huāng,hāng,huǎng","in between of the flesh, a state of a minority ethnic group in southern China, the moon is dimmed","kMandarin,kHanyuPinyin"
㭘,㭘,U+3B58,gé hé,ge he,gé,"21202.060:gé,hé","a scabbard; a sheath; a case for sword, a tree like the acacia","kMandarin,kHanyuPinyin"
㭛,㭛,U+3B5B,pài bà,pai ba,pài,"21201.100:pài,bà","a kind of climbing plants; rattan; bark can be used to weave cloth, a component parts of a loom","kMandarin,kHanyuPinyin"
㭝,㭝,U+3B5D,qiú òu,qiu ou,qiú,"21195.050:qiú,òu","name of a pavilion, in Xinshi, name of a place in Jingling","kMandarin,kHanyuPinyin"
㭡,㭡,U+3B61,xì xìn,xi xin,xì,"21201.080:xì,xìn","name of a mountain, a component parts of a loom","kMandarin,kHanyuPinyin"
㭫,㭫,U+3B6B,cuó cuán,cuo cuan,cuó,"21217.050:cuó,cuán","a fruit tree (plum), (same as 菆) hemp stalks, a mat","kMandarin,kHanyuPinyin"
㭭,㭭,U+3B6D,bā bèi biē,ba bei bie,bā,"21214.080:bā,bèi,biē","a kind of tree, a harrow; a drag, a written contract or agreement; a bond; a deed, handles of spears or lances used in ancient times","kMandarin,kHanyuPinyin"
